tf	id	cell	disease	n_cpg_positions	total_cpg_observations	mean_frac_high_meth	mean_frac_low_meth	max_frac_high_at_any_pos	motif_width	methmotif_class
AFF1	MM1_HSA_K562_AFF1	K562	tumor	7	732	0.1297	0.4505	0.1852	30	Intermediate
AR	MM1_HSA_LNCaP_AR	LNCaP 	tumor	6	250	0.0145	0.8658	0.0455	15	MethylMinus
ARID2	MM1_HSA_K562_ARID2	K562	tumor	6	852	3e-04	0.9806	0.0018	15	MethylMinus
ARID3A	MM1_HSA_HepG2_ARID3A	HepG2	tumor	15	1782	0.0069	0.9531	0.0526	19	MethylMinus
ATF1	MM1_HSA_K562_ATF1	K562	tumor	8	1578	0.0064	0.8429	0.02	15	MethylMinus
ATF2	MM1_HSA_HepG2_ATF2	HepG2	tumor	6	8683	0.1614	0.5149	0.4098	12	Intermediate
ATF3	MM1_HSA_K562_ATF3	K562	tumor	8	1034	0.007	0.8255	0.0319	15	MethylMinus
ATF4	MM1_HSA_K562_ATF4	K562	tumor	4	1062	0.0432	0.485	0.0952	11	Intermediate
ATF7	MM1_HSA_HepG2_ATF7	HepG2	tumor	8	8594	0.1776	0.4887	0.4	14	Intermediate
BACH1	MM1_HSA_HepG2_BACH1	HepG2	tumor	9	474	0.1297	0.5717	0.6111	15	Intermediate
BATF	MM1_HSA_GM12878_BATF	GM12878	normal	6	687	0.0297	0.7049	0.0893	15	MethylMinus
BATF3	MM1_HSA_GM12878_BATF3	GM12878	normal	2	68	0.0217	0.6498	0.0435	11	MethylMinus
BCL11A	MM1_HSA_GM12878_BCL11A	GM12878	normal	6	238	0.0021	0.921	0.0125	15	MethylMinus
BCL6	MM1_HSA_HepG2_BCL6	HepG2	tumor	5	567	0.0208	0.7598	0.0513	15	MethylMinus
BCL6B	MM1_HSA_HEK293_BCL6B	HEK293	normal	3	178	0.0632	0.5914	0.1231	14	Intermediate
BHLHE40	MM1_HSA_K562_BHLHE40	K562	tumor	1	4464	0	0.7576	0	8	MethylMinus
C11orf30	MM1_HSA_K562_C11orf30	K562	tumor	9	864	0.0523	0.6378	0.1098	15	MethylMinus
CBFA2T3	MM1_HSA_K562_CBFA2T3	K562	tumor	3	263	0	0.8451	0	10	MethylMinus
CBFB	MM1_HSA_GM12878_CBFB	GM12878	normal	4	348	0	0.8631	0	10	MethylMinus
CDX2	MM1_HSA_HUES64_CDX2	HUES64	normal	3	197	0.3003	0.2227	0.3675	11	Intermediate
CEBPA	MM1_HSA_HepG2_CEBPA	HepG2	tumor	13	11612	0.1921	0.4601	0.4898	20	Intermediate
CEBPB	MM1_HSA_IMR-90_CEBPB	IMR-90	normal	3	4838	0.2305	0.359	0.5136	11	Intermediate
CEBPD	MM1_HSA_HepG2_CEBPD	HepG2	tumor	7	2002	0.0505	0.7521	0.2553	15	MethylMinus
CEBPG	MM1_HSA_HepG2_CEBPG	HepG2	tumor	1	2608	0.3819	0.2274	0.3819	8	Intermediate
CHD2	MM1_HSA_A549_CHD2	A549	tumor	12	2633	7e-04	0.9124	0.004	18	MethylMinus
CLOCK	MM1_HSA_MCF-7_CLOCK	MCF-7	tumor	1	675	0.0044	0.9215	0.0044	7	MethylMinus
CREB1	MM1_HSA_MCF-7_CREB1	MCF-7	tumor	6	10231	0.0805	0.6396	0.1153	13	MethylMinus
CREB3L1	MM1_HSA_K562_CREB3L1	K562	tumor	2	461	0	0.8543	0	8	MethylMinus
CREM	MM1_HSA_K562_CREM	K562	tumor	2	1484	0	0.8477	0	7	MethylMinus
CTBP1	MM1_HSA_HEK293T_CTBP1	HEK293T	normal	2	28	0	0.7917	0	11	MethylMinus
CTCF	MM1_HSA_HepG2_CTCF	HepG2	tumor	11	9678	0.0217	0.803	0.0663	15	MethylMinus
CTCFL	MM1_HSA_K562_CTCFL	K562	tumor	12	3935	0.0189	0.848	0.0909	18	MethylMinus
CUX1	MM1_HSA_MCF-7_CUX1	MCF-7	tumor	2	70	0.14	0.505	0.28	11	Intermediate
DDX20	MM1_HSA_MCF-7_DDX20	MCF-7	tumor	8	625	9e-04	0.9931	0.007	14	MethylMinus
DPF2	MM1_HSA_K562_DPF2	K562	tumor	1	58	0	0.7931	0	8	MethylMinus
E2F1	MM1_HSA_LNCaP_E2F1	LNCaP 	tumor	9	8334	4e-04	0.9778	0.0013	15	MethylMinus
E2F4	MM1_HSA_K562_E2F4	K562	tumor	1	666	0.021	0.8634	0.021	8	MethylMinus
E2F6	MM1_HSA_H1-hESC_E2F6	H1-hESC	normal	7	1443	0.1562	0.4815	0.2792	14	Intermediate
E2F7	MM1_HSA_K562_E2F7	K562	tumor	2	197	0	0.9175	0	11	MethylMinus
E2F8	MM1_HSA_K562_E2F8	K562	tumor	8	905	0.0057	0.9667	0.0417	15	MethylMinus
E4F1	MM1_HSA_K562_E4F1	K562	tumor	8	1770	0	0.8886	0	14	MethylMinus
EBF1	MM1_HSA_GM12878_EBF1	GM12878	normal	5	588	0.0285	0.716	0.0722	14	MethylMinus
EGR1	MM1_HSA_K562_EGR1	K562	tumor	8	4039	0.0396	0.6664	0.0566	15	MethylMinus
EGR2	MM1_HSA_HEK293_EGR2	HEK293	normal	11	13034	0.3295	0.3885	0.4808	15	Intermediate
ELF1	MM1_HSA_HepG2_ELF1	HepG2	tumor	8	2841	0.0059	0.889	0.0203	14	MethylMinus
ELF3	MM1_HSA_HepG2_ELF3	HepG2	tumor	1	72	0	0.8333	0	8	MethylMinus
ELF4	MM1_HSA_K562_ELF4	K562	tumor	9	1943	1e-04	0.9063	7e-04	15	MethylMinus
ELK1	MM1_HSA_GM12878_ELK1	GM12878	normal	4	1058	0	0.9776	0	11	MethylMinus
ELK4	MM1_HSA_HeLa-S3_ELK4	HeLa-S3	tumor	5	3754	8e-04	0.9153	0.0021	11	MethylMinus
EOMES	MM1_HSA_H9_EOMES	H9	normal	2	50	0.3455	0.1638	0.3684	10	Intermediate
ESR1	MM1_HSA_MCF-7_ESR1	MCF-7	tumor	10	4683	0.0397	0.6266	0.0645	15	MethylMinus
ESRRA	MM1_HSA_K562_ESRRA	K562	tumor	5	185	0.0329	0.6468	0.0741	11	MethylMinus
ETS1	MM1_HSA_GM12878_ETS1	GM12878	normal	4	604	0	0.9765	0	11	MethylMinus
ETV4	MM1_HSA_HepG2_ETV4	HepG2	tumor	4	1627	0.0073	0.9372	0.0233	11	MethylMinus
ETV6	MM1_HSA_GM12878_ETV6	GM12878	normal	10	719	0.0011	0.872	0.0105	15	MethylMinus
FOS	MM1_HSA_MCF-7_FOS	MCF-7	tumor	2	1709	0.0246	0.6419	0.0329	10	MethylMinus
FOSL1	MM1_HSA_HCT116_FOSL1	HCT116	tumor	7	3104	0.0263	0.6474	0.0414	15	MethylMinus
FOSL2	MM1_HSA_SK-N-SH_FOSL2	SK-N-SH	tumor	3	1913	0.0156	0.3938	0.0273	11	Intermediate
FOXA1	MM1_HSA_LNCaP_FOXA1	LNCaP 	tumor	1	16	0	0.5625	0	11	Intermediate
FOXA2	MM1_HSA_HepG2_FOXA2	HepG2	tumor	7	651	0.0941	0.7104	0.4375	15	MethylMinus
FOXA3	MM1_HSA_HepG2_FOXA3	HepG2	tumor	1	78	0	0.7692	0	10	MethylMinus
FOXH1	MM1_HSA_H9_FOXH1	H9	normal	4	572	0.367	0.1642	0.4231	11	Intermediate
FOXK2	MM1_HSA_K562_FOXK2	K562	tumor	8	251	0.0027	0.9086	0.0217	15	MethylMinus
FOXM1	MM1_HSA_K562_FOXM1	K562	tumor	11	379	0	0.9469	0	18	MethylMinus
GABPA	MM1_HSA_K562_GABPA	K562	tumor	8	2127	0.0039	0.8888	0.011	15	MethylMinus
GABPB1	MM1_HSA_K562_GABPB1	K562	tumor	8	2559	0.005	0.8278	0.0198	14	MethylMinus
GATA1	MM1_HSA_K562_GATA1	K562	tumor	3	139	0	0.9151	0	10	MethylMinus
GATA2	MM1_HSA_LNCaP_GATA2	LNCaP 	tumor	1	50	0	0.76	0	8	MethylMinus
GATA3	MM1_HSA_MCF-7_GATA3	MCF-7	tumor	3	160	0.025	0.6635	0.0484	12	MethylMinus
GATA4	MM1_HSA_HUES64_GATA4	HUES64	normal	4	469	0.3606	0.1435	0.4158	11	Intermediate
GFI1B	MM1_HSA_HEK293_GFI1B	HEK293	normal	2	99	0.0406	0.7669	0.0612	11	MethylMinus
GMEB2	MM1_HSA_HepG2_GMEB2	HepG2	tumor	2	243	0	0.9515	0	7	MethylMinus
GRHL2	MM1_HSA_MCF-7_GRHL2	MCF-7	tumor	18	9071	0.04	0.5949	0.129	21	Intermediate
HES1	MM1_HSA_HepG2_HES1	HepG2	tumor	1	145	0	0.9379	0	7	MethylMinus
HES2	MM1_HSA_A549_HES2	A549	tumor	2	98	0.0577	0.5744	0.1154	11	Intermediate
HHEX	MM1_HSA_HepG2_HHEX	HepG2	tumor	2	54	0.0185	0.9259	0.037	11	MethylMinus
HLF	MM1_HSA_HepG2_HLF	HepG2	tumor	3	1889	0.2506	0.3938	0.4005	11	Intermediate
HMG20A	MM1_HSA_HepG2_HMG20A	HepG2	tumor	7	485	0.0107	0.8296	0.028	15	MethylMinus
HNF1A	MM1_HSA_HepG2_HNF1A	HepG2	tumor	5	189	0.0055	0.8709	0.0274	15	MethylMinus
HNF4A	MM1_HSA_HepG2_HNF4A	HepG2	tumor	8	1234	0.0083	0.7873	0.0256	15	MethylMinus
HNF4G	MM1_HSA_HepG2_HNF4G	HepG2	tumor	7	879	0.0104	0.8479	0.0455	14	MethylMinus
HOXB13	MM1_HSA_LNCaP_HOXB13	LNCaP 	tumor	3	112	0.0286	0.693	0.0588	11	MethylMinus
HSF1	MM1_HSA_GM12878_HSF1	GM12878	normal	10	225	0.081	0.6562	0.325	20	MethylMinus
IKZF3	MM1_HSA_HEK293_IKZF3	HEK293	normal	6	456	0.024	0.8131	0.0684	11	MethylMinus
IRF1	MM1_HSA_K562_IRF1	K562	tumor	12	1166	0.0538	0.6126	0.1622	21	MethylMinus
IRF2	MM1_HSA_K562_IRF2	K562	tumor	13	1274	0.0275	0.7683	0.0625	20	MethylMinus
IRF3	MM1_HSA_SK-N-SH_IRF3	SK-N-SH	tumor	13	1811	0.0036	0.9151	0.0169	19	MethylMinus
IRF4	MM1_HSA_GM12878_IRF4	GM12878	normal	7	427	0.0033	0.9614	0.0169	15	MethylMinus
IRF5	MM1_HSA_GM12878_IRF5	GM12878	normal	5	491	0	0.9714	0	15	MethylMinus
JUN	MM1_HSA_HeLa-S3_JUN	HeLa-S3	tumor	3	1355	0.0199	0.752	0.0337	11	MethylMinus
JUNB	MM1_HSA_GM12878_JUNB	GM12878	normal	6	512	0.0281	0.7381	0.1034	15	MethylMinus
JUND	MM1_HSA_SK-N-SH_JUND	SK-N-SH	tumor	7	3101	0.0123	0.4315	0.0296	15	Intermediate
KLF1	MM1_HSA_HEK293_KLF1	HEK293	normal	15	15884	0.2168	0.524	0.4886	21	Intermediate
KLF10	MM1_HSA_HEK293_KLF10	HEK293	normal	3	2814	0.0278	0.8862	0.0417	11	MethylMinus
KLF13	MM1_HSA_K562_KLF13	K562	tumor	5	643	8e-04	0.9119	0.0039	14	MethylMinus
KLF4	MM1_HSA_MCF-7_KLF4	MCF-7	tumor	4	2798	0.0048	0.9365	0.0115	11	MethylMinus
KLF5	MM1_HSA_HUES64_KLF5	HUES64	normal	2	718	0.0362	0.8966	0.0471	8	MethylMinus
KLF9	MM1_HSA_MCF-7_KLF9	MCF-7	tumor	8	14202	0.006	0.9467	0.0176	15	MethylMinus
MAFF	MM1_HSA_HepG2_MAFF	HepG2	tumor	14	2613	0.2581	0.4462	0.4015	19	Intermediate
MAFG	MM1_HSA_K562_MAFG	K562	tumor	11	1789	0.0553	0.6347	0.1119	15	MethylMinus
MAFK	MM1_HSA_HepG2_MAFK	HepG2	tumor	13	3065	0.2599	0.4226	0.3643	17	Intermediate
MAX	MM1_HSA_K562_MAX	K562	tumor	3	3663	0.0141	0.7195	0.0247	10	MethylMinus
MAZ	MM1_HSA_K562_MAZ	K562	tumor	10	1655	0.0011	0.9216	0.0091	15	MethylMinus
MEF2A	MM1_HSA_GM12878_MEF2A	GM12878	normal	4	93	0.0336	0.7905	0.087	15	MethylMinus
MEF2B	MM1_HSA_GM12878_MEF2B	GM12878	normal	2	336	0.0325	0.8036	0.061	11	MethylMinus
MEF2C	MM1_HSA_GM12878_MEF2C	GM12878	normal	4	96	0.0109	0.8606	0.0435	15	MethylMinus
MEIS2	MM1_HSA_K562_MEIS2	K562	tumor	4	204	0.0331	0.594	0.0588	13	Intermediate
MITF	MM1_HSA_K562_MITF	K562	tumor	3	583	0	0.9059	0	11	MethylMinus
MNT	MM1_HSA_HepG2_MNT	HepG2	tumor	11	10952	0.2644	0.3426	0.4439	15	Intermediate
MTA1	MM1_HSA_MCF-7_MTA1	MCF-7	tumor	12	1627	0	0.9976	0	19	MethylMinus
MXI1	MM1_HSA_SK-N-SH_MXI1	SK-N-SH	tumor	2	1148	0.0363	0.657	0.0633	8	MethylMinus
MYNN	MM1_HSA_K562_MYNN	K562	tumor	3	46	0.0444	0.7316	0.1333	16	MethylMinus
MZF1	MM1_HSA_HEK293_MZF1	HEK293	normal	10	580	0.0873	0.6624	0.2143	15	MethylMinus
NANOG	MM1_HSA_H9_NANOG	H9	normal	4	61	0.1788	0.3758	0.3333	15	Intermediate
NCOA1	MM1_HSA_K562_NCOA1	K562	tumor	10	269	0	0.9579	0	18	MethylMinus
NCOA3	MM1_HSA_MCF-7_NCOA3	MCF-7	tumor	6	569	0.0045	0.7174	0.011	14	MethylMinus
NFATC3	MM1_HSA_K562_NFATC3	K562	tumor	1	17	0	0.7647	0	19	MethylMinus
NFE2	MM1_HSA_K562_NFE2	K562	tumor	8	1919	0.0196	0.6941	0.0538	15	MethylMinus
NFE2L1	MM1_HSA_K562_NFE2L1	K562	tumor	4	214	0.0645	0.5868	0.1765	15	Intermediate
NFE2L2	MM1_HSA_IMR-90_NFE2L2	IMR-90	normal	8	922	0.0767	0.6134	0.1875	15	MethylMinus
NFIA	MM1_HSA_K562_NFIA	K562	tumor	10	3493	0.0313	0.6664	0.0968	15	MethylMinus
NFIB	MM1_HSA_MCF-7_NFIB	MCF-7	tumor	11	3360	0.1223	0.4977	0.2976	15	Intermediate
NFIC	MM1_HSA_K562_NFIC	K562	tumor	9	3168	0.0509	0.6378	0.1273	15	MethylMinus
NFIL3	MM1_HSA_HepG2_NFIL3	HepG2	tumor	3	414	0.0644	0.6418	0.1131	11	MethylMinus
NFYA	MM1_HSA_HeLa-S3_NFYA	HeLa-S3	tumor	9	3069	0.0578	0.8099	0.2024	15	MethylMinus
NFYB	MM1_HSA_K562_NFYB	K562	tumor	10	3001	0.0648	0.665	0.1443	15	MethylMinus
NFYC	MM1_HSA_HepG2_NFYC	HepG2	tumor	8	2178	0.1198	0.6266	0.2739	15	MethylMinus
NKX3-1	MM1_HSA_LNCaP_NKX3-1	LNCaP 	tumor	1	29	0	0.7931	0	11	MethylMinus
NR2C1	MM1_HSA_K562_NR2C1	K562	tumor	6	237	0.0311	0.7036	0.0682	15	MethylMinus
NR2C2	MM1_HSA_HepG2_NR2C2	HepG2	tumor	2	46	0	0.9516	0	15	MethylMinus
NR2F1	MM1_HSA_HepG2_NR2F1	HepG2	tumor	4	735	0.0389	0.7454	0.0571	11	MethylMinus
NR2F2	MM1_HSA_MCF-7_NR2F2	MCF-7	tumor	5	815	0.0149	0.7586	0.0361	11	MethylMinus
NR2F6	MM1_HSA_HepG2_NR2F6	HepG2	tumor	9	964	0.0246	0.757	0.0412	15	MethylMinus
NR3C1	MM1_HSA_LNCaP_NR3C1	LNCaP 	tumor	8	1156	0.0657	0.5943	0.1176	15	Intermediate
NR5A2	MM1_HSA_MCF-7_NR5A2	MCF-7	tumor	11	843	0.0119	0.8428	0.0568	15	MethylMinus
NRF1	MM1_HSA_K562_NRF1	K562	tumor	6	4723	0.0036	0.7772	0.0057	11	MethylMinus
OSR2	MM1_HSA_HEK293_OSR2	HEK293	normal	1	145	0.0276	0.7448	0.0276	8	MethylMinus
PBX2	MM1_HSA_K562_PBX2	K562	tumor	2	212	0.0317	0.5816	0.0635	11	Intermediate
PBX3	MM1_HSA_GM12878_PBX3	GM12878	normal	3	183	0.0439	0.7534	0.1176	11	MethylMinus
PHF21A	MM1_HSA_K562_PHF21A	K562	tumor	2	29	0	0.9333	0	10	MethylMinus
PKNOX1	MM1_HSA_K562_PKNOX1	K562	tumor	3	479	0.0288	0.7098	0.0357	11	MethylMinus
POU2F1	MM1_HSA_LNCaP_POU2F1	LNCaP 	tumor	6	148	0.2475	0.4099	0.3571	21	Intermediate
POU2F2	MM1_HSA_GM12878_POU2F2	GM12878	normal	4	185	0.0143	0.8083	0.0303	13	MethylMinus
POU5F1	MM1_HSA_HUES64_POU5F1	HUES64	normal	6	334	0.1043	0.3365	0.359	15	Intermediate
PPARG	MM1_HSA_HepG2_PPARG	HepG2	tumor	7	661	0.0072	0.816	0.034	15	MethylMinus
PRDM1	MM1_HSA_HEK293_PRDM1	HEK293	normal	9	773	0.3602	0.2887	0.4789	15	Intermediate
PRDM4	MM1_HSA_HEK293_PRDM4	HEK293	normal	9	671	0.1722	0.5257	0.4155	15	Intermediate
RBAK	MM1_HSA_HEK293_RBAK	HEK293	normal	2	70	0.7789	0.0709	0.8305	20	MethylPlus
RBM25	MM1_HSA_K562_RBM25	K562	tumor	7	701	0.0718	0.5772	0.1806	15	Intermediate
RELB	MM1_HSA_GM12878_RELB	GM12878	normal	2	178	0.0109	0.7565	0.0219	11	MethylMinus
REST	MM1_HSA_HEK293_REST	HEK293	normal	16	3786	0.2069	0.5565	0.339	21	Intermediate
RFX1	MM1_HSA_K562_RFX1	K562	tumor	10	3163	0.0638	0.6297	0.1538	15	MethylMinus
RFX3	MM1_HSA_HepG2_RFX3	HepG2	tumor	6	791	0.1495	0.6363	0.3913	14	MethylMinus
RFX5	MM1_HSA_HepG2_RFX5	HepG2	tumor	8	267	0.0774	0.7412	0.1818	14	MethylMinus
