tf_upper	yin_source	yin_call	yin_enrichment	mm_class	mm_high	mm_low	mm_cell	final_call	sources_agree
AFF1				Intermediate	0.1297	0.4505	K562	Intermediate	
ALX3	DBD	MethylPlus	0.5					MethylPlus	
AR				MethylMinus	0.0145	0.8658	LNCaP	MethylMinus	
ARID2				MethylMinus	3e-04	0.9806	K562	MethylMinus	
ARID3A				MethylMinus	0.0069	0.9531	HepG2	MethylMinus	
ARNT2	DBD	MethylMinus	-0.95431					MethylMinus	
ARNTL	DBD	MethylMinus	-0.78974197					MethylMinus	
ATF1				MethylMinus	0.0064	0.8429	K562	MethylMinus	
ATF2	DBD	MethylMinus	0.1130954	Intermediate	0.1614	0.5149	HepG2	MethylMinus	FALSE
ATF3	DBD	MethylMinus	-0.2502504	MethylMinus	0.007	0.8255	K562	MethylMinus	TRUE
ATF4				Intermediate	0.0432	0.485	K562	Intermediate	
ATF6	DBD	MethylMinus	-0.72159729					MethylMinus	
ATF6B	DBD	MethylMinus	-0.562424735					MethylMinus	
ATF7	DBD	MethylMinus	-0.00784308	Intermediate	0.1776	0.4887	HepG2	MethylMinus	FALSE
BACH1				Intermediate	0.1297	0.5717	HepG2	Intermediate	
BARHL2	DBD	MethylMinus	-0.01511627					MethylMinus	
BATF				MethylMinus	0.0297	0.7049	GM12878	MethylMinus	
BATF3				MethylMinus	0.0217	0.6498	GM12878	MethylMinus	
BATF3*	DBD	inconclusive	-0.22142864					inconclusive	
BCL11A				MethylMinus	0.0021	0.921	GM12878	MethylMinus	
BCL6	DBD	MethylMinus	-0.21651775	MethylMinus	0.0208	0.7598	HepG2	MethylMinus	TRUE
BCL6B	DBD	MethylMinus	-0.16421049	Intermediate	0.0632	0.5914	HEK293	MethylMinus	FALSE
BHLHE40	DBD	MethylMinus	-0.73493256	MethylMinus	0	0.7576	K562	MethylMinus	TRUE
BHLHE41	DBD	MethylMinus	-0.93939392					MethylMinus	
BSX	DBD	MethylMinus	0.63135612					MethylMinus	
C11ORF30				MethylMinus	0.0523	0.6378	K562	MethylMinus	
CBFA2T3				MethylMinus	0	0.8451	K562	MethylMinus	
CBFB				MethylMinus	0	0.8631	GM12878	MethylMinus	
CDX2				Intermediate	0.3003	0.2227	HUES64	Intermediate	
CDX4	DBD	MethylPlus	1.64705872					MethylPlus	
CEBPA				Intermediate	0.1921	0.4601	HepG2	Intermediate	
CEBPB	DBD	MethylPlus	0.14827597	Intermediate	0.2305	0.359	IMR-90	MethylPlus	FALSE
CEBPD	DBD	Little effect	0.0253011	MethylMinus	0.0505	0.7521	HepG2	Little effect	FALSE
CEBPE	DBD	MethylPlus	0.12007153					MethylPlus	
CEBPG	FL_only	MethylPlus	0.20073532	Intermediate	0.3819	0.2274	HepG2	MethylPlus	FALSE
CHD2				MethylMinus	7e-04	0.9124	A549	MethylMinus	
CLOCK	DBD	Multiple	-0.49915493	MethylMinus	0.0044	0.9215	MCF-7	Multiple	FALSE
CREB1	DBD	MethylMinus	-0.63325394	MethylMinus	0.0805	0.6396	MCF-7	MethylMinus	TRUE
CREB3	FL_only	MethylMinus	-0.465127155					MethylMinus	
CREB3L1	DBD	MethylMinus	-0.115598285	MethylMinus	0	0.8543	K562	MethylMinus	TRUE
CREB5	DBD	MethylMinus	-0.14958686					MethylMinus	
CREM	DBD	MethylMinus	-0.49751972	MethylMinus	0	0.8477	K562	MethylMinus	TRUE
CTBP1				MethylMinus	0	0.7917	HEK293T	MethylMinus	
CTCF				MethylMinus	0.0217	0.803	HepG2	MethylMinus	
CTCFL				MethylMinus	0.0189	0.848	K562	MethylMinus	
CUX1	DBD	MethylMinus	-0.04761916	Intermediate	0.14	0.505	MCF-7	MethylMinus	FALSE
DBP*	DBD	inconclusive	-0.00119886					inconclusive	
DDX20				MethylMinus	9e-04	0.9931	MCF-7	MethylMinus	
DMRTC2	FL_only	MethylMinus	-0.35416664					MethylMinus	
DPF2				MethylMinus	0	0.7931	K562	MethylMinus	
E2F1				MethylMinus	4e-04	0.9778	LNCaP	MethylMinus	
E2F2	DBD	MethylMinus	-0.54999998					MethylMinus	
E2F3	DBD	Little effect	0.07037902					Little effect	
E2F4	DBD	MethylMinus	-0.95335938	MethylMinus	0.021	0.8634	K562	MethylMinus	TRUE
E2F6				Intermediate	0.1562	0.4815	H1-hESC	Intermediate	
E2F7	DBD	MethylMinus	-0.52859531	MethylMinus	0	0.9175	K562	MethylMinus	TRUE
E2F8	DBD	Little effect	0.0405947	MethylMinus	0.0057	0.9667	K562	Little effect	FALSE
E4F1				MethylMinus	0	0.8886	K562	MethylMinus	
EBF1				MethylMinus	0.0285	0.716	GM12878	MethylMinus	
EGR1	DBD	Little effect	-0.01086956	MethylMinus	0.0396	0.6664	K562	Little effect	FALSE
EGR2	FL_only	Little effect	-0.01473004	Intermediate	0.3295	0.3885	HEK293	Little effect	TRUE
EGR3	FL_only	Little effect	0.02042365					Little effect	
EGR4	DBD	MethylPlus	0.2030077					MethylPlus	
ELF1	FL_only	MethylMinus	-0.86733002	MethylMinus	0.0059	0.889	HepG2	MethylMinus	TRUE
ELF2	DBD	MethylMinus	-0.83164864					MethylMinus	
ELF3	DBD	MethylMinus	-0.82683983	MethylMinus	0	0.8333	HepG2	MethylMinus	TRUE
ELF4	DBD	MethylMinus	-0.85894844	MethylMinus	1e-04	0.9063	K562	MethylMinus	TRUE
ELF5	FL_only	MethylMinus	-0.546345745					MethylMinus	
ELK1	FL_only	MethylMinus	-0.79086533	MethylMinus	0	0.9776	GM12878	MethylMinus	TRUE
ELK3	DBD	MethylMinus	-0.8179834					MethylMinus	
ELK4				MethylMinus	8e-04	0.9153	HeLa-S3	MethylMinus	
EN1	DBD	MethylPlus	0.16666662					MethylPlus	
EN2	DBD	MethylPlus	-0.18181837					MethylPlus	
EOMES				Intermediate	0.3455	0.1638	H9	Intermediate	
ERG	DBD	MethylMinus	-0.94045067					MethylMinus	
ESR1	DBD	MethylPlus	0.91489395	MethylMinus	0.0397	0.6266	MCF-7	MethylPlus	FALSE
ESRRA				MethylMinus	0.0329	0.6468	K562	MethylMinus	
ETS1				MethylMinus	0	0.9765	GM12878	MethylMinus	
ETS2	FL_only	MethylMinus	-0.95575729					MethylMinus	
ETV1	FL_only	MethylMinus	-0.78663673					MethylMinus	
ETV2	DBD	MethylMinus	-0.89285713					MethylMinus	
ETV3	DBD	MethylMinus	-0.827201805					MethylMinus	
ETV4	DBD	MethylMinus	-0.89407661	MethylMinus	0.0073	0.9372	HepG2	MethylMinus	TRUE
ETV5	DBD	MethylMinus	-0.76223778					MethylMinus	
ETV6				MethylMinus	0.0011	0.872	GM12878	MethylMinus	
FEV	DBD	MethylMinus	-0.74270643					MethylMinus	
FLI1	DBD	MethylMinus	-0.927225725					MethylMinus	
FOS	DBD	MethylMinus	-0.43023266	MethylMinus	0.0246	0.6419	MCF-7	MethylMinus	TRUE
FOSB	DBD	inconclusive	0.09890116					inconclusive	
FOSL1				MethylMinus	0.0263	0.6474	HCT116	MethylMinus	
FOSL2				Intermediate	0.0156	0.3938	SK-N-SH	Intermediate	
FOXA1				Intermediate	0	0.5625	LNCaP	Intermediate	
FOXA2				MethylMinus	0.0941	0.7104	HepG2	MethylMinus	
FOXA3				MethylMinus	0	0.7692	HepG2	MethylMinus	
FOXG1	DBD	MethylPlus	-0.20440256					MethylPlus	
FOXH1				Intermediate	0.367	0.1642	H9	Intermediate	
FOXJ3	DBD	MethylPlus	0.12636185					MethylPlus	
FOXK2				MethylMinus	0.0027	0.9086	K562	MethylMinus	
FOXM1				MethylMinus	0	0.9469	K562	MethylMinus	
FOXP3	FL_only	MethylMinus	-1					MethylMinus	
GABPA	DBD	MethylMinus	-0.83492294	MethylMinus	0.0039	0.8888	K562	MethylMinus	TRUE
GABPB1				MethylMinus	0.005	0.8278	K562	MethylMinus	
GATA1				MethylMinus	0	0.9151	K562	MethylMinus	
GATA2				MethylMinus	0	0.76	LNCaP	MethylMinus	
GATA3	FL_only	MethylPlus	1.431590545	MethylMinus	0.025	0.6635	MCF-7	MethylPlus	FALSE
GATA4				Intermediate	0.3606	0.1435	HUES64	Intermediate	
GATA5	FL_only	MethylPlus	0.8700396					MethylPlus	
GBX2	DBD	MethylPlus	1.325					MethylPlus	
GCM1	FL_only	inconclusive	1.2e-07					inconclusive	
GCM1*	DBD	inconclusive	0.19791676					inconclusive	
GCM2	FL_only	inconclusive	0.13725483					inconclusive	
GFI1	DBD	MethylMinus	-0.27368414					MethylMinus	
GFI1B				MethylMinus	0.0406	0.7669	HEK293	MethylMinus	
GLI2	DBD	MethylMinus	-0.07936513					MethylMinus	
GLIS1	DBD	MethylMinus	-0.1027779					MethylMinus	
GLIS2	DBD	MethylMinus	-0.48172768					MethylMinus	
GMEB1	FL_only	MethylMinus	-0.91304348					MethylMinus	
GMEB2	DBD	MethylMinus	-0.9446228	MethylMinus	0	0.9515	HepG2	MethylMinus	TRUE
GRHL1	DBD	MethylPlus	0.15395296					MethylPlus	
GRHL2				Intermediate	0.04	0.5949	MCF-7	Intermediate	
GSX2	DBD	MethylPlus	0.83492828					MethylPlus	
HES1	DBD	MethylMinus	-0.78395058	MethylMinus	0	0.9379	HepG2	MethylMinus	TRUE
HES2	DBD	MethylMinus	-0.53834118	Intermediate	0.0577	0.5744	A549	MethylMinus	FALSE
HES5	DBD	MethylMinus	-0.789772225					MethylMinus	
HES7	DBD	MethylMinus	-0.96713943					MethylMinus	
HEY1	FL_only	MethylMinus	-0.36046505					MethylMinus	
HEY2	DBD	MethylMinus	-0.53225811					MethylMinus	
HHEX				MethylMinus	0.0185	0.9259	HepG2	MethylMinus	
HLF	FL_only	MethylPlus	0.38181805	Intermediate	0.2506	0.3938	HepG2	MethylPlus	FALSE
HMG20A				MethylMinus	0.0107	0.8296	HepG2	MethylMinus	
HNF1A				MethylMinus	0.0055	0.8709	HepG2	MethylMinus	
HNF4A				MethylMinus	0.0083	0.7873	HepG2	MethylMinus	
HNF4G				MethylMinus	0.0104	0.8479	HepG2	MethylMinus	
HOXA1	FL_only	MethylPlus	1.56696411					MethylPlus	
HOXA10	DBD	MethylPlus	0.36558296					MethylPlus	
HOXA11	DBD	MethylPlus	0.6231588					MethylPlus	
HOXA13	DBD	MethylPlus	1.27999969					MethylPlus	
HOXA2	FL_only	MethylPlus	0.76923111					MethylPlus	
HOXA4	DBD	MethylPlus	0.02623892					MethylPlus	
HOXA5	DBD	MethylPlus	-0.02564096					MethylPlus	
HOXA6	DBD	MethylPlus	0.21311474					MethylPlus	
HOXA7	DBD	MethylPlus	0.18113911					MethylPlus	
HOXB1	DBD	MethylPlus	-0.16666656					MethylPlus	
HOXB13	FL_only	MethylPlus	0.91032616	MethylMinus	0.0286	0.693	LNCaP	MethylPlus	FALSE
HOXB2	DBD	MethylPlus	1.0555558					MethylPlus	
HOXB5	DBD	MethylPlus	-0.22424252					MethylPlus	
HOXB6	DBD	MethylPlus	0.02824855					MethylPlus	
HOXB7	DBD	MethylPlus	0.16363632					MethylPlus	
HOXB8	DBD	MethylPlus	1.23809502					MethylPlus	
HOXB9	DBD	MethylPlus	0.53014351					MethylPlus	
HOXC10	DBD	MethylPlus	0.35531139					MethylPlus	
HOXC11	DBD	MethylPlus	0.29514576					MethylPlus	
HOXC12	DBD	MethylPlus	0.6610173					MethylPlus	
HOXC13	DBD	MethylPlus	0.91208801					MethylPlus	
HOXC4	DBD	MethylPlus	-0.04255307					MethylPlus	
HOXC8	FL_only	MethylPlus	1.35367722					MethylPlus	
HOXC9	FL_only	MethylPlus	0.85566986					MethylPlus	
HOXD1	DBD	MethylPlus	-0.35294117					MethylPlus	
HOXD10	DBD	MethylPlus	0.61172188					MethylPlus	
HOXD11	DBD	MethylPlus	1.1937323					MethylPlus	
HOXD12	DBD	MethylPlus	0.37254883					MethylPlus	
HOXD13	DBD	MethylPlus	1.07450081					MethylPlus	
HOXD3	FL_only	MethylPlus	0.3138834					MethylPlus	
HOXD4	DBD	MethylPlus	0.69696976					MethylPlus	
HOXD8	DBD	MethylPlus	0.77966095					MethylPlus	
HOXD9	FL_only	MethylPlus	0.96274483					MethylPlus	
HSF1	FL_only	inconclusive	0.04761899	MethylMinus	0.081	0.6562	GM12878	MethylMinus	FALSE
HSF2	DBD	Multiple	-0.54411758					Multiple	
HSF5	DBD	MethylMinus	1.20000008					MethylMinus	
HSFY1	DBD	MethylMinus	-0.95734268					MethylMinus	
HSFY2	DBD	MethylMinus	-0.91834274					MethylMinus	
IKZF3				MethylMinus	0.024	0.8131	HEK293	MethylMinus	
IRF1				MethylMinus	0.0538	0.6126	K562	MethylMinus	
IRF2	FL_only	MethylPlus	0.3261496	MethylMinus	0.0275	0.7683	K562	MethylPlus	FALSE
IRF3				MethylMinus	0.0036	0.9151	SK-N-SH	MethylMinus	
IRF3*	DBD	inconclusive	-0.16271549					inconclusive	
IRF4	FL_only	MethylPlus	0.097561	MethylMinus	0.0033	0.9614	GM12878	MethylPlus	FALSE
IRF5	DBD	Little effect	-0.09007359	MethylMinus	0	0.9714	GM12878	Little effect	FALSE
IRF6	DBD	MethylPlus	0.18181801					MethylPlus	
IRF7	DBD	MethylMinus	-0.45743244					MethylMinus	
IRF8*	FL_only	inconclusive	-0.100530265					inconclusive	
IRF9	FL_only	MethylPlus	0.10526312					MethylPlus	
IRX1	DBD	MethylPlus	0.42857124					MethylPlus	
IRX3	DBD	MethylPlus	1.81200027					MethylPlus	
IRX5	DBD	MethylPlus	0.84910713					MethylPlus	
ISX	DBD	MethylPlus	0.48809528					MethylPlus	
JDP2	FL_only	inconclusive	0.33333351					inconclusive	
JUN				MethylMinus	0.0199	0.752	HeLa-S3	MethylMinus	
JUNB				MethylMinus	0.0281	0.7381	GM12878	MethylMinus	
JUND				Intermediate	0.0123	0.4315	SK-N-SH	Intermediate	
KLF1				Intermediate	0.2168	0.524	HEK293	Intermediate	
KLF10	DBD	MethylPlus	0.12745094	MethylMinus	0.0278	0.8862	HEK293	MethylPlus	FALSE
KLF11	DBD	MethylPlus	0.19159328					MethylPlus	
KLF12	FL_only	MethylPlus	0.14774966					MethylPlus	
KLF13	DBD	MethylPlus	0.30303038	MethylMinus	8e-04	0.9119	K562	MethylPlus	FALSE
KLF14	DBD	MethylPlus	0.27735556					MethylPlus	
KLF15	DBD	MethylPlus	-0.0133					MethylPlus	
KLF16	DBD	MethylPlus	0.14130402					MethylPlus	
KLF17	DBD	MethylPlus	0.4438504					MethylPlus	
KLF2	DBD	Little effect	-0.41176476					Little effect	
KLF4	DBD	Little effect	-0.22077925	MethylMinus	0.0048	0.9365	MCF-7	Little effect	FALSE
KLF5				MethylMinus	0.0362	0.8966	HUES64	MethylMinus	
KLF6	DBD	MethylPlus	0.25714291					MethylPlus	
KLF9				MethylMinus	0.006	0.9467	MCF-7	MethylMinus	
LBX2	DBD	MethylPlus	0.04444444					MethylPlus	
LEF1	DBD	MethylMinus	-0.40016026					MethylMinus	
LHX4	DBD	MethylPlus	0.06896544					MethylPlus	
LHX5	FL_only	MethylPlus	0.60389603					MethylPlus	
LHX6	FL_only	MethylPlus	1.48443298					MethylPlus	
LHX9	DBD	MethylPlus	1.26666687					MethylPlus	
LIN28B	FL_only	MethylMinus	-0.40859146					MethylMinus	
LMX1A	DBD	MethylPlus	1.72727234					MethylPlus	
LMX1B	FL_only	MethylPlus	0.5789473					MethylPlus	
MAFF	DBD	MethylMinus	0.67836296	Intermediate	0.2581	0.4462	HepG2	MethylMinus	FALSE
MAFG				MethylMinus	0.0553	0.6347	K562	MethylMinus	
MAFK				Intermediate	0.2599	0.4226	HepG2	Intermediate	
MAX	DBD	MethylMinus	-0.24420094	MethylMinus	0.0141	0.7195	K562	MethylMinus	TRUE
MAZ				MethylMinus	0.0011	0.9216	K562	MethylMinus	
MBNL2	FL_only	MethylMinus	-0.38375347					MethylMinus	
MEF2A				MethylMinus	0.0336	0.7905	GM12878	MethylMinus	
MEF2B				MethylMinus	0.0325	0.8036	GM12878	MethylMinus	
MEF2C				MethylMinus	0.0109	0.8606	GM12878	MethylMinus	
MEIS2	DBD	MethylPlus	1.14615372	Intermediate	0.0331	0.594	K562	MethylPlus	FALSE
MEIS3	DBD	MethylPlus	0.6571431					MethylPlus	
MITF				MethylMinus	0	0.9059	K562	MethylMinus	
MLX	DBD	MethylMinus	-0.78075943					MethylMinus	
MNT				Intermediate	0.2644	0.3426	HepG2	Intermediate	
MSX1	DBD	MethylPlus	0.10294115					MethylPlus	
MSX2	DBD	MethylPlus	0.24081623					MethylPlus	
MTA1				MethylMinus	0	0.9976	MCF-7	MethylMinus	
MTF1	DBD	Little effect	-0.00631648					Little effect	
MXI1				MethylMinus	0.0363	0.657	SK-N-SH	MethylMinus	
MYBL2	DBD	MethylMinus	-0.26102942					MethylMinus	
MYCN	DBD	MethylMinus	-0.57406414					MethylMinus	
MYF6	DBD	MethylPlus	0.18181812					MethylPlus	
MYNN				MethylMinus	0.0444	0.7316	K562	MethylMinus	
MYOD1	FL_only	Little effect	0.57160484					Little effect	
MYOG	FL_only	Little effect	0.44989323					Little effect	
MZF1				MethylMinus	0.0873	0.6624	HEK293	MethylMinus	
NANOG	DBD	MethylPlus	-0.3488372	Intermediate	0.1788	0.3758	H9	MethylPlus	FALSE
NCOA1				MethylMinus	0	0.9579	K562	MethylMinus	
NCOA3				MethylMinus	0.0045	0.7174	MCF-7	MethylMinus	
NFAT5	DBD	MethylPlus	0.22361362					MethylPlus	
NFATC1	DBD	MethylPlus	0.51851845					MethylPlus	
NFATC2	DBD	MethylPlus	0.20471037					MethylPlus	
NFATC3	DBD	MethylPlus	0.67849808	MethylMinus	0	0.7647	K562	MethylPlus	FALSE
NFE2				MethylMinus	0.0196	0.6941	K562	MethylMinus	
NFE2L1				Intermediate	0.0645	0.5868	K562	Intermediate	
NFE2L2				MethylMinus	0.0767	0.6134	IMR-90	MethylMinus	
NFIA				MethylMinus	0.0313	0.6664	K562	MethylMinus	
NFIB				Intermediate	0.1223	0.4977	MCF-7	Intermediate	
NFIC				MethylMinus	0.0509	0.6378	K562	MethylMinus	
NFIL3				MethylMinus	0.0644	0.6418	HepG2	MethylMinus	
NFYA				MethylMinus	0.0578	0.8099	HeLa-S3	MethylMinus	
NFYB				MethylMinus	0.0648	0.665	K562	MethylMinus	
NFYC				MethylMinus	0.1198	0.6266	HepG2	MethylMinus	
NHLH1	FL_only	Little effect	-0.15789479					Little effect	
NHLH2	FL_only	Little effect	-0.08867306					Little effect	
NKX2-3	DBD	MethylPlus	0.29166662					MethylPlus	
