ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
map00230	Purine metabolism	70/1599	251/8155	0.278884462151394	1.42232819815173	3.35624446983167	0.000812270094959947	0.0454415130026261	0.0428505495419501	LOC_00021127/LOC_00002696/LOC_00020254/LOC_00006167/LOC_00021638/LOC_00004350/LOC_00004117/LOC_00024746/LOC_00020910/LOC_00023473/LOC_00016981/LOC_00014303/LOC_00017614/LOC_00005308/LOC_00005624/LOC_00019837/LOC_00007579/LOC_00018856/LOC_00015809/LOC_00013743/LOC_00002508/LOC_00000652/LOC_00007355/LOC_00019253/LOC_00006175/LOC_00014652/LOC_00025161/LOC_00013028/LOC_00020763/LOC_00010665/LOC_00002769/LOC_00000945/LOC_00022821/LOC_00020634/LOC_00007322/LOC_00019268/LOC_00019136/LOC_00022662/LOC_00018624/LOC_00021359/LOC_00007578/LOC_00019365/LOC_00006935/LOC_00014558/LOC_00006560/LOC_00005290/LOC_00020882/LOC_00019269/LOC_00012184/LOC_00002660/LOC_00002530/LOC_00019563/LOC_00003912/LOC_00021599/LOC_00017079/LOC_00013337/LOC_00011582/LOC_00016101/LOC_00000681/LOC_00008444/LOC_00007580/LOC_00024670/LOC_00010917/LOC_00015441/LOC_00017858/LOC_00005421/LOC_00018675/LOC_00013854/LOC_00010463/LOC_00009719	70
map04330	Notch signaling pathway	23/1599	62/8155	0.370967741935484	1.89195868385483	3.48157636588869	0.000987077366388324	0.0454415130026261	0.0428505495419501	LOC_00003016/LOC_00006432/LOC_00007190/LOC_00025975/LOC_00013996/LOC_00025381/LOC_00018038/LOC_00022888/LOC_00004670/LOC_00006434/LOC_00024066/LOC_00025569/LOC_00021756/LOC_00025217/LOC_00024273/LOC_00003827/LOC_00020989/LOC_00007759/LOC_00010728/LOC_00009432/LOC_00019421/LOC_00024941/LOC_00022996	23
map04512	ECM-receptor interaction	33/1599	101/8155	0.326732673267327	1.66635706722642	3.32775998595859	0.00123739549871348	0.0454415130026261	0.0428505495419501	LOC_00019938/LOC_00021298/LOC_00024086/LOC_00011084/LOC_00019064/LOC_00011859/LOC_00006557/LOC_00012251/LOC_00004421/LOC_00007280/LOC_00005890/LOC_00003057/LOC_00010757/LOC_00014481/LOC_00012096/LOC_00003280/LOC_00015137/LOC_00006694/LOC_00006866/LOC_00021347/LOC_00024213/LOC_00020963/LOC_00009641/LOC_00016889/LOC_00012654/LOC_00004339/LOC_00024734/LOC_00009793/LOC_00023415/LOC_00006375/LOC_00012955/LOC_00006282/LOC_00002723	33
map00531	Glycosaminoglycan degradation	18/1599	45/8155	0.4	2.04002501563477	3.4548542319418	0.00126226425007295	0.0454415130026261	0.0428505495419501	LOC_00010953/LOC_00024297/LOC_00019157/LOC_00009997/LOC_00021677/LOC_00021072/LOC_00004660/LOC_00016445/LOC_00014138/LOC_00003031/LOC_00007518/LOC_00007891/LOC_00015757/LOC_00022722/LOC_00008811/LOC_00024619/LOC_00023702/LOC_00000024	18
map00232	Caffeine metabolism	7/1599	11/8155	0.636363636363636	3.24549434305532	3.68026878709539	0.00172556605338112	0.0496963023373763	0.0468627412391926	LOC_00016981/LOC_00007579/LOC_00013743/LOC_00007578/LOC_00011582/LOC_00007580/LOC_00010463	7
map04310	Wnt signaling pathway	47/1599	170/8155	0.276470588235294	1.41001729021815	2.66795981865574	0.00653335735802403	0.156800576592577	0.147860192839491	LOC_00008192/LOC_00007190/LOC_00006234/LOC_00008803/LOC_00004813/LOC_00012606/LOC_00003420/LOC_00000671/LOC_00007431/LOC_00012857/LOC_00007508/LOC_00005157/LOC_00019199/LOC_00011489/LOC_00017172/LOC_00025209/LOC_00000604/LOC_00019881/LOC_00003952/LOC_00021756/LOC_00017436/LOC_00010280/LOC_00025217/LOC_00021399/LOC_00003088/LOC_00016977/LOC_00012225/LOC_00018705/LOC_00002835/LOC_00002942/LOC_00020989/LOC_00014531/LOC_00003099/LOC_00011125/LOC_00005802/LOC_00014899/LOC_00019380/LOC_00006538/LOC_00016820/LOC_00011436/LOC_00010728/LOC_00025788/LOC_00000014/LOC_00023502/LOC_00022996/LOC_00005416/LOC_00012485	47
map00604	Glycosphingolipid biosynthesis - ganglio series	10/1599	24/8155	0.416666666666667	2.12502605795289	2.7257519724988	0.0108705927425503	0.223623622132463	0.210873152449471	LOC_00024297/LOC_00019157/LOC_00009997/LOC_00021677/LOC_00014138/LOC_00008811/LOC_00020758/LOC_00024619/LOC_00017341/LOC_00023702	10
map00511	Other glycan degradation	14/1599	39/8155	0.358974358974359	1.83079168069787	2.56828689835962	0.0127916371746166	0.230249469143098	0.217121209937571	LOC_00024297/LOC_00018765/LOC_00019157/LOC_00009997/LOC_00021677/LOC_00018763/LOC_00000984/LOC_00004828/LOC_00014138/LOC_00008614/LOC_00008811/LOC_00024619/LOC_00006397/LOC_00023702	14
map00520	Amino sugar and nucleotide sugar metabolism	39/1599	147/8155	0.26530612244898	1.35307781649245	2.13332577355479	0.0241561387013657	0.334356653984112	0.315292458800808	LOC_00010075/LOC_00022609/LOC_00018268/LOC_00024297/LOC_00007336/LOC_00002436/LOC_00016299/LOC_00009997/LOC_00009880/LOC_00012076/LOC_00000364/LOC_00021677/LOC_00000182/LOC_00018422/LOC_00009809/LOC_00005379/LOC_00010259/LOC_00020916/LOC_00004252/LOC_00014397/LOC_00024234/LOC_00018433/LOC_00014138/LOC_00008110/LOC_00025069/LOC_00012704/LOC_00008854/LOC_00024413/LOC_00025162/LOC_00008811/LOC_00024908/LOC_00024619/LOC_00006060/LOC_00017103/LOC_00023702/LOC_00019074/LOC_00020915/LOC_00006668/LOC_00005236	39
map00051	Fructose and mannose metabolism	16/1599	50/8155	0.32	1.63202001250782	2.21375439144867	0.0256069688841392	0.334356653984112	0.315292458800808	LOC_00010075/LOC_00022609/LOC_00003177/LOC_00018001/LOC_00012076/LOC_00000364/LOC_00005995/LOC_00000182/LOC_00024099/LOC_00018433/LOC_00025069/LOC_00015227/LOC_00024413/LOC_00006060/LOC_00012561/LOC_00021206	16
map04142	Lysosome	62/1599	251/8155	0.247011952191235	1.25977640407725	2.06444448510109	0.0259398779898659	0.334356653984112	0.315292458800808	LOC_00005902/LOC_00013389/LOC_00015016/LOC_00017454/LOC_00018054/LOC_00024297/LOC_00009766/LOC_00018765/LOC_00014300/LOC_00013739/LOC_00011615/LOC_00019157/LOC_00009997/LOC_00008238/LOC_00014299/LOC_00021677/LOC_00016253/LOC_00014211/LOC_00004595/LOC_00018763/LOC_00022700/LOC_00021343/LOC_00019906/LOC_00022891/LOC_00004623/LOC_00004660/LOC_00012668/LOC_00020651/LOC_00010386/LOC_00004828/LOC_00003816/LOC_00023213/LOC_00016445/LOC_00014110/LOC_00003228/LOC_00000227/LOC_00007413/LOC_00007585/LOC_00014138/LOC_00000632/LOC_00003031/LOC_00002720/LOC_00007518/LOC_00007891/LOC_00008614/LOC_00015757/LOC_00022722/LOC_00015049/LOC_00011199/LOC_00025244/LOC_00014045/LOC_00019097/LOC_00007664/LOC_00024619/LOC_00018560/LOC_00012935/LOC_00024277/LOC_00011706/LOC_00016647/LOC_00002383/LOC_00000024/LOC_00013691	62
map05132	Salmonella infection	26/1599	92/8155	0.282608695652174	1.44132202191587	2.10228356908876	0.0281413032357284	0.334356653984112	0.315292458800808	LOC_00020811/LOC_00005512/LOC_00010872/LOC_00007553/LOC_00021623/LOC_00008319/LOC_00004606/LOC_00013285/LOC_00013754/LOC_00014544/LOC_00008652/LOC_00025445/LOC_00023443/LOC_00013099/LOC_00014385/LOC_00025619/LOC_00002677/LOC_00015571/LOC_00010147/LOC_00010059/LOC_00003511/LOC_00018886/LOC_00024795/LOC_00023896/LOC_00005649/LOC_00003680	26
map00440	Phosphonate and phosphinate metabolism	5/1599	10/8155	0.5	2.55003126954346	2.42206072914029	0.030184975706899	0.334356653984112	0.315292458800808	LOC_00012601/LOC_00002934/LOC_00023529/LOC_00017214/LOC_00016156	5
map03040	Spliceosome	56/1599	228/8155	0.245614035087719	1.25264693942486	1.91080843140221	0.0364828212577221	0.375251875793713	0.35385593550723	LOC_00012991/LOC_00020666/LOC_00019079/LOC_00025574/LOC_00005130/LOC_00002479/LOC_00025380/LOC_00022671/LOC_00008564/LOC_00000816/LOC_00022670/LOC_00018822/LOC_00012992/LOC_00012155/LOC_00013459/LOC_00024753/LOC_00014480/LOC_00018864/LOC_00012403/LOC_00020517/LOC_00025569/LOC_00006566/LOC_00020456/LOC_00004909/LOC_00010498/LOC_00002462/LOC_00005511/LOC_00015882/LOC_00009805/LOC_00002920/LOC_00023518/LOC_00023963/LOC_00006124/LOC_00003831/LOC_00002834/LOC_00013056/LOC_00009222/LOC_00021140/LOC_00000472/LOC_00014302/LOC_00005302/LOC_00019866/LOC_00008646/LOC_00006274/LOC_00025888/LOC_00008297/LOC_00004020/LOC_00003479/LOC_00011683/LOC_00006107/LOC_00011729/LOC_00003215/LOC_00022597/LOC_00010487/LOC_00008514/LOC_00006693	56
map01230	Biosynthesis of amino acids	33/1599	126/8155	0.261904761904762	1.33573066499896	1.87558032054657	0.0424436642750176	0.407459177040169	0.384226855542265	LOC_00019391/LOC_00005931/LOC_00002680/LOC_00003603/LOC_00019837/LOC_00002734/LOC_00012970/LOC_00025083/LOC_00017427/LOC_00009844/LOC_00017643/LOC_00006835/LOC_00010315/LOC_00010918/LOC_00011879/LOC_00007916/LOC_00007690/LOC_00006836/LOC_00019365/LOC_00005290/LOC_00015227/LOC_00021877/LOC_00024560/LOC_00000161/LOC_00019281/LOC_00013337/LOC_00011357/LOC_00012723/LOC_00009582/LOC_00009397/LOC_00025601/LOC_00018472/LOC_00021206	33
map00190	Oxidative phosphorylation	40/1599	160/8155	0.25	1.27501563477173	1.73499510824812	0.0541123843757759	0.487011459381983	0.459243262136519	LOC_00025504/LOC_00015476/LOC_00005736/LOC_00016028/LOC_00021567/LOC_00013851/LOC_00006561/LOC_00008022/LOC_00020170/LOC_00011639/LOC_00006210/LOC_00022891/LOC_00010548/LOC_00012713/LOC_00004468/LOC_00020343/LOC_00019409/LOC_00003237/LOC_00019361/LOC_00014873/LOC_00013757/LOC_00015110/LOC_00021322/LOC_00012416/LOC_00022545/LOC_00018874/LOC_00018768/LOC_00017641/LOC_00002866/LOC_00008690/LOC_00004665/LOC_00017419/LOC_00002566/LOC_00018792/LOC_00011685/LOC_00008874/LOC_00002374/LOC_00006544/LOC_00002813/LOC_00017629	40
map04010	MAPK signaling pathway	33/1599	130/8155	0.253846153846154	1.29463125992207	1.67231502422927	0.0624803677426481	0.529245467937725	0.499069191257065	LOC_00005512/LOC_00000937/LOC_00006777/LOC_00022631/LOC_00011680/LOC_00006565/LOC_00007999/LOC_00025366/LOC_00007474/LOC_00008319/LOC_00011897/LOC_00007575/LOC_00017466/LOC_00021474/LOC_00014544/LOC_00003443/LOC_00008652/LOC_00019078/LOC_00025608/LOC_00014385/LOC_00021330/LOC_00022831/LOC_00018201/LOC_00026005/LOC_00006347/LOC_00017461/LOC_00025934/LOC_00005354/LOC_00007043/LOC_00018886/LOC_00018258/LOC_00023896/LOC_00023089	33
map04068	FoxO signaling pathway	44/1599	182/8155	0.241758241758242	1.23298215230673	1.56977561312513	0.0726065473711713	0.561469526636118	0.529455913275286	LOC_00021882/LOC_00021076/LOC_00021585/LOC_00023670/LOC_00003039/LOC_00005514/LOC_00006809/LOC_00009754/LOC_00009204/LOC_00024192/LOC_00017879/LOC_00006385/LOC_00011897/LOC_00017622/LOC_00013084/LOC_00021415/LOC_00005244/LOC_00019881/LOC_00007772/LOC_00008667/LOC_00005874/LOC_00005664/LOC_00017888/LOC_00025107/LOC_00002668/LOC_00017321/LOC_00012620/LOC_00021186/LOC_00010078/LOC_00013221/LOC_00025098/LOC_00006538/LOC_00000277/LOC_00024191/LOC_00010211/LOC_00023708/LOC_00008342/LOC_00014866/LOC_00005877/LOC_00012270/LOC_00000198/LOC_00017705/LOC_00008150/LOC_00022996	44
map00910	Nitrogen metabolism	12/1599	40/8155	0.3	1.53001876172608	1.65946115073015	0.0769859953524765	0.561469526636118	0.529455913275286	LOC_00024387/LOC_00012042/LOC_00022672/LOC_00012970/LOC_00009844/LOC_00012343/LOC_00000161/LOC_00023184/LOC_00010275/LOC_00011357/LOC_00009397/LOC_00018472	12
map04140	Autophagy - animal	48/1599	202/8155	0.237623762376238	1.21189604889194	1.50599373511303	0.0805972811829186	0.561469526636118	0.529455913275286	LOC_00002876/LOC_00021882/LOC_00018054/LOC_00025513/LOC_00007441/LOC_00009766/LOC_00015860/LOC_00010373/LOC_00011226/LOC_00010472/LOC_00024982/LOC_00012606/LOC_00015954/LOC_00008238/LOC_00014458/LOC_00003565/LOC_00008049/LOC_00000859/LOC_00025209/LOC_00024166/LOC_00023845/LOC_00014363/LOC_00020633/LOC_00016054/LOC_00000227/LOC_00013951/LOC_00011116/LOC_00002668/LOC_00020650/LOC_00003044/LOC_00010078/LOC_00002942/LOC_00020521/LOC_00007086/LOC_00013221/LOC_00006988/LOC_00016692/LOC_00009389/LOC_00007664/LOC_00008296/LOC_00025642/LOC_00000014/LOC_00005877/LOC_00012543/LOC_00016647/LOC_00012760/LOC_00023692/LOC_00018003	48
map00562	Inositol phosphate metabolism	24/1599	93/8155	0.258064516129032	1.31614517137727	1.51424707483219	0.0863830300420976	0.561469526636118	0.529455913275286	LOC_00009546/LOC_00019175/LOC_00015860/LOC_00017099/LOC_00003420/LOC_00007036/LOC_00004122/LOC_00020150/LOC_00014736/LOC_00007745/LOC_00018453/LOC_00024890/LOC_00011969/LOC_00009882/LOC_00018473/LOC_00024452/LOC_00021865/LOC_00007704/LOC_00024282/LOC_00018417/LOC_00025788/LOC_00007360/LOC_00010074/LOC_00021206	24
map04144	Endocytosis	83/1599	369/8155	0.224932249322493	1.14716853860221	1.428765890831	0.0881625696106356	0.561469526636118	0.529455913275286	LOC_00011709/LOC_00012991/LOC_00009546/LOC_00015791/LOC_00006490/LOC_00015016/LOC_00021635/LOC_00011564/LOC_00019175/LOC_00024850/LOC_00004404/LOC_00015675/LOC_00009696/LOC_00015601/LOC_00025440/LOC_00018873/LOC_00025318/LOC_00005610/LOC_00025273/LOC_00004869/LOC_00009143/LOC_00017023/LOC_00020150/LOC_00012992/LOC_00016016/LOC_00018650/LOC_00010327/LOC_00025971/LOC_00008378/LOC_00024732/LOC_00008049/LOC_00007821/LOC_00013095/LOC_00005645/LOC_00012403/LOC_00023909/LOC_00019830/LOC_00009901/LOC_00019881/LOC_00012717/LOC_00014532/LOC_00000980/LOC_00006965/LOC_00011914/LOC_00017888/LOC_00019312/LOC_00024843/LOC_00013895/LOC_00021335/LOC_00002681/LOC_00020554/LOC_00012447/LOC_00005250/LOC_00017809/LOC_00009528/LOC_00005493/LOC_00017014/LOC_00021012/LOC_00005464/LOC_00006926/LOC_00019435/LOC_00005986/LOC_00016692/LOC_00023621/LOC_00008757/LOC_00021640/LOC_00023657/LOC_00013294/LOC_00021368/LOC_00000547/LOC_00008296/LOC_00018680/LOC_00014578/LOC_00021790/LOC_00021291/LOC_00004282/LOC_00000470/LOC_00003215/LOC_00007429/LOC_00006969/LOC_00018039/LOC_00018072/LOC_00013691	83
map01212	Fatty acid metabolism	21/1599	80/8155	0.2625	1.33876641651032	1.50371035749225	0.0896791605043799	0.561469526636118	0.529455913275286	LOC_00018115/LOC_00015403/LOC_00015399/LOC_00011434/LOC_00008464/LOC_00003228/LOC_00005375/LOC_00018420/LOC_00015564/LOC_00004929/LOC_00007566/LOC_00023463/LOC_00017150/LOC_00007337/LOC_00008463/LOC_00000483/LOC_00018965/LOC_00004936/LOC_00004853/LOC_00019665/LOC_00000599	21
map00600	Sphingolipid metabolism	23/1599	90/8155	0.255555555555556	1.30334931554444	1.42906571863914	0.100092828752249	0.568286211799119	0.535883927793029	LOC_00005902/LOC_00020411/LOC_00013389/LOC_00002705/LOC_00005717/LOC_00003581/LOC_00005494/LOC_00019157/LOC_00002703/LOC_00012668/LOC_00014513/LOC_00015761/LOC_00013078/LOC_00025465/LOC_00011936/LOC_00021602/LOC_00011199/LOC_00015996/LOC_00017084/LOC_00012783/LOC_00006397/LOC_00018211/LOC_00025500	23
map00220	Arginine biosynthesis	11/1599	38/8155	0.289473684210526	1.47633389289358	1.45343502803061	0.108928107001751	0.568286211799119	0.535883927793029	LOC_00021127/LOC_00012273/LOC_00012970/LOC_00009844/LOC_00006835/LOC_00015988/LOC_00006836/LOC_00020532/LOC_00011357/LOC_00009397/LOC_00018472	11
map00770	Pantothenate and CoA biosynthesis	10/1599	34/8155	0.294117647058824	1.5000183938491	1.44281549251745	0.112899341611857	0.568286211799119	0.535883927793029	LOC_00007762/LOC_00017427/LOC_00015756/LOC_00011800/LOC_00006081/LOC_00012759/LOC_00012474/LOC_00003048/LOC_00018221/LOC_00022697	10
map01200	Carbon metabolism	43/1599	184/8155	0.233695652173913	1.19186244119966	1.29996777272849	0.115245023268803	0.568286211799119	0.535883927793029	LOC_00022738/LOC_00018115/LOC_00011616/LOC_00005931/LOC_00007038/LOC_00018961/LOC_00003603/LOC_00012076/LOC_00021010/LOC_00000364/LOC_00019837/LOC_00005995/LOC_00025083/LOC_00005438/LOC_00025589/LOC_00012893/LOC_00017942/LOC_00017643/LOC_00006835/LOC_00012132/LOC_00010918/LOC_00011879/LOC_00015564/LOC_00007916/LOC_00015110/LOC_00007690/LOC_00006836/LOC_00019365/LOC_00005290/LOC_00015227/LOC_00014731/LOC_00019281/LOC_00013337/LOC_00016150/LOC_00006060/LOC_00012697/LOC_00012289/LOC_00009582/LOC_00010287/LOC_00023904/LOC_00008346/LOC_00018472/LOC_00021206	43
map00760	Nicotinate and nicotinamide metabolism	13/1599	47/8155	0.276595744680851	1.41065559591766	1.39431184617942	0.115510783851097	0.568286211799119	0.535883927793029	LOC_00020254/LOC_00021638/LOC_00015809/LOC_00007065/LOC_00010923/LOC_00010665/LOC_00000945/LOC_00020634/LOC_00000681/LOC_00013171/LOC_00015729/LOC_00021182/LOC_00013362	13
map00072	Synthesis and degradation of ketone bodies	5/1599	14/8155	0.357142857142857	1.82145090681676	1.5191367387468	0.121365303691726	0.568286211799119	0.535883927793029	LOC_00018115/LOC_00008806/LOC_00002912/LOC_00020156/LOC_00019108	5
map00670	One carbon pool by folate	7/1599	22/8155	0.318181818181818	1.62274717152766	1.44440116793155	0.122339392817866	0.568286211799119	0.535883927793029	LOC_00016975/LOC_00020910/LOC_00021010/LOC_00003812/LOC_00003684/LOC_00016871/LOC_00025601	7
map04626	Plant-pathogen interaction	7/1599	22/8155	0.318181818181818	1.62274717152766	1.44440116793155	0.122339392817866	0.568286211799119	0.535883927793029	LOC_00012273/LOC_00005827/LOC_00011949/LOC_00007040/LOC_00010683/LOC_00024187/LOC_00021645	7
map00010	Glycolysis / Gluconeogenesis	18/1599	70/8155	0.257142857142857	1.31144465290807	1.29234956173505	0.128257115793589	0.569264839259702	0.536806756319456	LOC_00018961/LOC_00012076/LOC_00000364/LOC_00019837/LOC_00005995/LOC_00025083/LOC_00012893/LOC_00007772/LOC_00007586/LOC_00010918/LOC_00011879/LOC_00019365/LOC_00015227/LOC_00019281/LOC_00006060/LOC_00010287/LOC_00008346/LOC_00021206	18
map02010	ABC transporters	25/1599	102/8155	0.245098039215686	1.25001532820758	1.25481004021643	0.130456525663682	0.569264839259702	0.536806756319456	LOC_00002443/LOC_00005977/LOC_00024400/LOC_00004264/LOC_00023461/LOC_00006135/LOC_00006136/LOC_00013970/LOC_00025988/LOC_00021489/LOC_00011399/LOC_00010745/LOC_00014357/LOC_00019998/LOC_00018527/LOC_00024109/LOC_00007936/LOC_00013588/LOC_00003971/LOC_00025255/LOC_00004479/LOC_00003539/LOC_00015209/LOC_00020001/LOC_00010456	25
map00513	Various types of N-glycan biosynthesis	19/1599	77/8155	0.246753246753247	1.25845699016431	1.12530910714177	0.16271502786293	0.663806424843476	0.625957812900646	LOC_00022824/LOC_00024297/LOC_00009997/LOC_00021677/LOC_00006990/LOC_00024711/LOC_00007634/LOC_00023237/LOC_00019262/LOC_00014138/LOC_00008811/LOC_00024619/LOC_00014886/LOC_00021655/LOC_00022892/LOC_00005457/LOC_00023702/LOC_00000347/LOC_00013582	19
